PitcherId,pitches,CSW%,Whiff/Swing%,Balls%,BIP%
6,23,0.34782608695652173,0.0,0.30434782608695654,0.17391304347826086
12,20,0.3,0.3,0.3,0.25
10,17,0.23529411764705882,0.16666666666666666,0.4117647058823529,0.29411764705882354
9,22,0.22727272727272727,0.125,0.3181818181818182,0.045454545454545456
5,29,0.20689655172413793,0.23076923076923078,0.3103448275862069,0.1724137931034483
1,201,0.20398009950248755,0.15730337078651685,0.31343283582089554,0.15422885572139303
13,15,0.2,0.2857142857142857,0.4666666666666667,0.2
17,15,0.2,0.0,0.4,0.2
2,10,0.2,0.0,0.2,0.1
16,11,0.18181818181818182,0.3333333333333333,0.36363636363636365,0.09090909090909091
11,99,0.18181818181818182,0.12195121951219512,0.31313131313131315,0.20202020202020202
15,17,0.17647058823529413,0.2857142857142857,0.4117647058823529,0.058823529411764705
