GamePk,PitcherId,BatterId,PitchType,PitchCall,is_swing,is_whiff,is_bip,is_hit,ReleaseSpeed,ReleaseExtension
1,4,33,,pickoff_attempt_1b,0,0,0,0,,
1,4,33,CH,ball,0,0,0,0,87.31807444,5.644583225
1,14,36,FF,called_strike,0,0,0,0,92.17996786,6.469892502
1,4,33,,pickoff_attempt_1b,0,0,0,0,,
1,4,33,CH,field_out,1,0,1,0,83.40278405,5.771271229
1,5,21,SL,swinging_strike,1,1,0,0,91.61001406,5.956896782
1,5,21,SI,single,1,0,1,1,94.34368698,5.950937748
1,5,4,SI,called_strike,0,0,0,0,95.21906544,5.99291563
1,5,4,CU,ball,0,0,0,0,81.70337841,5.862627983
1,5,4,CU,foul,1,0,0,0,83.35072908,6.075750351
1,5,4,,pickoff_attempt_1b,0,0,0,0,,
1,5,4,,pickoff_attempt_1b,0,0,0,0,,
1,5,4,SL,ball,0,0,0,0,88.8461314,5.722299576
1,5,4,SL,foul,1,0,0,0,89.51681463,5.931263924
1,5,4,SL,field_out,1,0,1,0,92.37192192,5.924415112
1,5,13,SL,ball,0,0,0,0,85.6536803,5.94822979
1,5,13,,pickoff_attempt_1b,0,0,0,0,,
1,5,13,CU,ball,0,0,0,0,81.24942028,5.819820881
1,5,13,CU,stolen_base_2b,0,0,0,0,81.02413026,5.784132004
1,5,13,CU,called_strike,0,0,0,0,81.00668685,5.665228367
1,5,13,SL,field_out,1,0,1,0,89.48381276,5.848265648
1,5,14,SL,swinging_strike,1,1,0,0,89.62353829,5.740892887
1,5,14,CU,ball,0,0,0,0,85.89088367,6.079815865
1,5,14,SL,swinging_strike,1,1,0,0,91.13646638,6.051609516
1,1,17,FF,ball,0,0,0,0,97.83980243,6.243022442
1,5,14,SL,ball,0,0,0,0,92.19569623,6.10167408
1,5,14,CU,foul,1,0,0,0,83.15481939,5.970076084
1,5,14,SI,double,1,0,1,1,95.05909194,5.929733276
1,5,36,SL,blocked_ball,0,0,0,0,88.34693615,5.960891724
1,5,36,SL,ball,0,0,0,0,89.04357861,5.956037045
1,5,36,SL,ball,0,0,0,0,89.59121232,5.966114044
1,5,36,SL,called_strike,0,0,0,0,91.02415087,6.087255955
1,5,36,CU,foul,1,0,0,0,83.49496905,5.994314671
1,5,36,SL,field_out,1,0,1,0,91.45790799,5.954528332
1,1,29,FF,field_out,1,0,1,0,95.09732247,6.031304359
1,14,34,FF,walk,0,0,0,0,92.31314612,6.387747765
1,14,34,FF,ball,0,0,0,0,94.12328952,6.348565578
1,11,2,FF,foul_bunt,0,0,0,0,93.17170211,6.534907818
1,11,19,FF,foul,1,0,0,0,93.17044896,6.505777836
1,11,4,FF,called_strike,0,0,0,0,92.08944273,6.458216667
1,13,17,SL,ball,0,0,0,0,85.62984547,6.879920959
1,13,17,SL,called_strike,0,0,0,0,85.88969089,6.893969059
1,11,2,FF,strikeout,0,0,0,0,92.73913032,6.505671501
1,1,29,FF,foul,1,0,0,0,93.36966761,6.124074459
1,13,17,SL,ball,0,0,0,0,88.17152758,7.000087738
1,11,4,FF,foul,1,0,0,0,93.79334152,6.525542259
1,13,7,SL,swinging_strike,1,1,0,0,87.53401806,6.894953251
1,13,7,SL,ball,0,0,0,0,85.77853551,6.881469727
1,13,7,SL,single,1,0,1,1,86.59418028,6.79800272
1,16,30,FC,ball,0,0,0,0,88.54814274,6.300104141
1,16,30,FC,called_strike,0,0,0,0,89.07394643,6.531479359
1,16,30,SL,ball,0,0,0,0,82.28335174,6.542711735
1,16,30,FC,single,1,0,1,1,90.15502309,6.692305565
1,16,28,SI,foul_tip,0,0,0,0,91.85292046,6.599428654
1,16,28,SI,wild_pitch,0,0,0,0,94.15746421,6.7207551
1,16,28,SL,swinging_strike,1,1,0,0,82.32380466,6.673054695
1,16,28,SI,ball,0,0,0,0,94.78293719,6.504853725
1,16,28,SL,blocked_ball,0,0,0,0,82.26811225,6.771755695
1,16,28,SI,foul,1,0,0,0,94.49671117,6.854159355
1,16,28,SL,strikeout,0,0,0,0,82.58105377,6.719199657
1,12,34,CH,called_strike,0,0,0,0,89.35683608,6.09031868
1,12,34,CH,ball,0,0,0,0,90.52002705,6.263315201
1,5,14,FF,foul,1,0,0,0,96.85564718,6.116412163
1,12,34,CH,ball,0,0,0,0,91.14898015,6.410293579
1,12,34,CH,strikeout,0,0,0,0,89.97249434,6.309666634
1,1,23,FF,ball,0,0,0,0,94.76060406,6.156591892
1,12,1,SL,swinging_strike,1,1,0,0,87.67264461,6.200029373
1,12,1,SL,field_out,1,0,1,0,91.77804155,6.129749775
1,11,18,FF,field_out,1,0,1,0,93.4048557,6.33645153
1,12,24,CH,ball,0,0,0,0,91.00564905,6.467859268
1,1,28,FF,ball,0,0,0,0,96.10693654,6.159380913
1,12,24,CH,called_strike,0,0,0,0,90.64356058,6.384654522
1,12,24,CH,foul,1,0,0,0,92.75043958,6.353468895
1,12,24,CH,single,1,0,1,1,91.85913267,6.326161861
1,12,21,SL,ball,0,0,0,0,89.52998726,6.134654999
1,12,21,SL,foul,1,0,0,0,89.87682859,6.222550869
1,1,7,FF,called_strike,0,0,0,0,94.58144205,6.078081131
1,12,21,SL,single,1,0,1,1,89.1864205,6.190328598
1,8,29,FF,field_out,1,0,1,0,98.38415284,5.572178841
1,12,4,CH,field_out,1,0,1,0,89.49710891,6.520928383
1,3,3,FC,called_strike,0,0,0,0,93.90797453,6.944993973
1,3,3,FC,single,1,0,1,1,94.92293474,7.134479046
1,3,9,,pickoff_attempt_1b,0,0,0,0,,
1,3,9,FC,ball,0,0,0,0,92.00393181,6.83872509
1,3,9,FC,foul_tip,0,0,0,0,93.36555962,7.213459969
1,3,9,FC,ball,0,0,0,0,93.4827306,7.274719715
1,3,9,SI,foul,1,0,0,0,93.73689308,7.373862743
1,3,9,SL,ball,0,0,0,0,82.98854746,7.072234154
1,3,9,FC,strikeout,0,0,0,0,94.32988385,7.039181232
1,3,20,,pickoff_attempt_1b,0,0,0,0,,
1,3,20,,pickoff_attempt_1b,0,0,0,0,,
1,3,20,FC,ball,0,0,0,0,92.63047392,7.227175713
1,3,20,FC,field_out,1,0,1,0,94.65070923,7.181846142
1,3,33,FC,foul,1,0,0,0,95.70600133,6.975332737
1,3,33,FC,ball,0,0,0,0,97.59722663,6.899242878
1,3,33,FC,ball,0,0,0,0,94.47701557,6.981946468
1,3,33,FC,foul,1,0,0,0,95.7515639,7.260205746
1,3,33,SL,strikeout,0,0,0,0,84.56053324,7.251901627
1,14,13,SL,home_run,1,0,1,1,79.69030792,6.226204395
1,14,14,FF,field_out,1,0,1,0,94.11691065,6.289365768
1,14,34,FF,ball,0,0,0,0,92.96105331,6.465135098
1,4,33,FF,ball,0,0,0,0,90.97796729,5.99051857
1,14,36,SL,ball,0,0,0,0,83.27966831,6.318628788
1,4,20,FF,called_strike,0,0,0,0,94.5317006,6.10255146
1,14,34,FF,foul,1,0,0,0,92.03881632,6.364366531
1,2,22,FF,foul,1,0,0,0,99.02834811,6.019861698
1,2,22,FF,foul,1,0,0,0,98.99405738,5.795464993
1,6,28,FF,field_out,1,0,1,0,99.69214522,5.868690968
1,11,21,FF,field_out,1,0,1,0,93.59021966,6.593269825
1,6,30,FF,ball,0,0,0,0,100.1030494,5.604265213
1,4,20,FF,force_out,1,0,1,0,92.04568526,5.87265873
1,14,26,,pickoff_attempt_1b,0,0,0,0,,
1,14,26,,pickoff_attempt_1b,0,0,0,0,,
1,6,7,FF,ball,0,0,0,0,96.231713,5.911659241
1,6,28,FF,called_strike,0,0,0,0,101.624039,5.969126225
1,8,17,SI,ball,0,0,0,0,99.38912175,5.505644321
1,8,17,SI,ball,0,0,0,0,99.22858452,5.568830967
1,8,17,SI,ball,0,0,0,0,98.024553,5.522788048
1,8,17,FC,walk,0,0,0,0,95.32519294,5.461967945
1,8,7,,pickoff_attempt_1b,0,0,0,0,,
1,8,7,SI,ball,0,0,0,0,97.88292229,5.510385036
1,8,7,,pickoff_attempt_1b,0,0,0,0,,
1,8,7,SL,blocked_ball,0,0,0,0,87.02068694,5.534218788
1,8,7,SI,grounded_into_double_play,1,0,1,0,97.60056071,5.525490761
2,7,19,FF,ball,0,0,0,0,95.82955881,6.505908966
2,7,19,FF,field_out,1,0,1,0,96.01395334,6.415337086
2,7,24,FF,ball,0,0,0,0,95.90047306,6.567461491
2,7,24,FF,ball,0,0,0,0,94.48461487,6.379841805
2,7,24,FF,foul,1,0,0,0,92.30566164,6.469217777
2,7,24,CU,ball,0,0,0,0,79.73083699,6.168703079
2,7,24,FF,field_out,1,0,1,0,94.65976311,6.401722431
2,7,21,FC,ball,0,0,0,0,88.92663066,6.392545223
2,7,21,FC,ball,0,0,0,0,87.32074007,6.349709034
2,7,21,SI,foul_tip,0,0,0,0,95.39233598,6.523098469
2,7,21,SI,field_out,1,0,1,0,94.6635549,6.419671535
2,1,11,FF,field_out,1,0,1,0,95.4025708,6.066511154
2,1,11,FF,ball,0,0,0,0,93.93094615,6.232195854
2,1,6,FF,field_out,1,0,1,0,96.85357206,6.158536434
2,1,5,FF,called_strike,0,0,0,0,95.05801565,5.990053177
2,1,8,FF,foul,1,0,0,0,96.62087674,6.100989342
2,1,5,FF,called_strike,0,0,0,0,95.07111801,5.970777512
2,1,31,FF,called_strike,0,0,0,0,94.48936046,6.03869915
2,1,11,FF,called_strike,0,0,0,0,95.69849151,6.040560722
2,1,25,FF,foul,1,0,0,0,95.3801604,6.076531887
2,1,6,FF,foul,1,0,0,0,98.43191749,6.082715988
2,1,6,FF,swinging_strike,1,1,0,0,95.27748592,6.168174744
2,1,5,FF,ball,0,0,0,0,95.17500391,6.052759171
2,1,31,FF,ball,0,0,0,0,96.18132396,6.01939106
2,1,11,FF,ball,0,0,0,0,96.08986209,6.06136322
2,1,11,FF,ball,0,0,0,0,96.34042464,6.176440239
2,7,13,FF,called_strike,0,0,0,0,93.57628805,6.487132072
2,7,13,CU,ball,0,0,0,0,79.16469487,6.42256403
2,7,13,CU,swinging_strike,1,1,0,0,80.59894496,6.347978592
2,7,13,CU,strikeout,0,0,0,0,81.41129557,6.337781429
2,7,4,SI,called_strike,0,0,0,0,94.2069403,6.51913023
2,7,4,SL,field_out,1,0,1,0,84.18275218,6.423877716
2,7,26,FC,ball,0,0,0,0,84.98463305,6.519969463
2,7,26,FC,field_out,1,0,1,0,85.60216122,6.367143631
2,1,31,FF,ball,0,0,0,0,95.88296606,6.113983154
2,1,8,FF,foul,1,0,0,0,96.86075594,6.087885857
2,1,25,FF,foul,1,0,0,0,97.23732555,5.977709293
2,1,6,FF,ball,0,0,0,0,95.27328021,6.08634901
2,1,31,FF,ball,0,0,0,0,96.63256122,6.409486771
2,1,12,FF,strikeout,0,0,0,0,96.85649626,6.13591814
2,1,8,FF,ball,0,0,0,0,92.24965142,6.169578552
2,1,8,FF,called_strike,0,0,0,0,92.65578319,6.04914093
2,1,31,FF,field_out,1,0,1,0,95.09744946,6.017137527
2,1,31,FF,foul,1,0,0,0,95.79330098,6.071534157
2,1,31,FF,ball,0,0,0,0,96.38559302,6.278022766
2,1,5,FF,foul,1,0,0,0,94.24913522,6.147651672
2,1,31,FF,ball,0,0,0,0,94.15964368,6.086562157
2,1,31,FF,strikeout,0,0,0,0,96.45867298,7.347102642
2,1,6,FF,foul,1,0,0,0,96.08656529,6.108407974
2,1,16,FF,called_strike,0,0,0,0,93.25870793,5.938967228
2,1,25,FF,ball,0,0,0,0,96.87357408,6.141268253
2,1,5,FF,ball,0,0,0,0,92.77600526,5.961294174
2,7,34,FF,foul,1,0,0,0,93.48778656,6.519610882
2,7,34,FF,field_out,1,0,1,0,93.23741206,6.354936123
2,7,18,FC,ball,0,0,0,0,84.46362522,6.485435486
2,7,18,FC,ball,0,0,0,0,86.93181124,6.485663414
2,7,18,FF,field_out,1,0,1,0,94.00505837,6.549554825
2,7,2,CU,called_strike,0,0,0,0,80.05913637,6.499269962
2,7,2,CU,field_out,1,0,1,0,78.63944134,6.425040245
2,1,5,FF,walk,0,0,0,0,91.50925435,5.979047298
2,1,31,FF,ball,0,0,0,0,95.7096403,5.931322575
