PitcherId,PitchType,count,share,pitches,csw,opportunity
1,CH,30,0.14925373134328357,30.0,0.2,0.1701492537313433
1,CU,27,0.13432835820895522,27.0,0.25925925925925924,0.2244333886124931
1,FC,22,0.10945273631840796,22.0,0.045454545454545456,0.040479421076436005
1,FF,87,0.43283582089552236,87.0,0.1839080459770115,0.10430605592726026
1,SL,32,0.15920398009950248,32.0,0.34375,0.28902363184079605
1,,3,0.014925373134328358,,,
2,CH,3,0.3,3.0,0.3333333333333333,0.2333333333333333
2,FF,2,0.2,2.0,0.0,0.0
2,SI,1,0.1,1.0,1.0,0.9
2,SL,4,0.4,4.0,0.0,0.0
3,FC,15,0.625,15.0,0.13333333333333333,0.05
3,SI,1,0.041666666666666664,1.0,0.0,0.0
3,SL,5,0.20833333333333334,5.0,0.2,0.15833333333333333
3,,3,0.125,,,
4,CH,4,0.2857142857142857,4.0,0.0,0.0
4,FC,4,0.2857142857142857,4.0,0.25,0.17857142857142858
4,FF,4,0.2857142857142857,4.0,0.25,0.17857142857142858
4,,2,0.14285714285714285,,,
5,CU,8,0.27586206896551724,8.0,0.125,0.09051724137931035
5,FF,1,0.034482758620689655,1.0,0.0,0.0
5,SI,3,0.10344827586206896,3.0,0.3333333333333333,0.29885057471264365
5,SL,14,0.4827586206896552,14.0,0.2857142857142857,0.14778325123152705
5,,3,0.10344827586206896,,,
6,CH,3,0.13043478260869565,3.0,0.0,0.0
6,FF,5,0.21739130434782608,5.0,0.2,0.1565217391304348
6,KC,12,0.5217391304347826,12.0,0.4166666666666667,0.1992753623188406
6,SI,3,0.13043478260869565,3.0,0.6666666666666666,0.5797101449275361
7,CU,13,0.16883116883116883,13.0,0.23076923076923078,0.19180819180819184
7,FC,10,0.12987012987012986,10.0,0.2,0.17402597402597403
7,FF,21,0.2727272727272727,21.0,0.14285714285714285,0.10389610389610389
7,SI,20,0.2597402597402597,20.0,0.15,0.11103896103896103
7,SL,11,0.14285714285714285,11.0,0.18181818181818182,0.15584415584415587
7,,2,0.025974025974025976,,,
8,FC,1,0.1,1.0,0.0,0.0
8,FF,1,0.1,1.0,0.0,0.0
8,SI,5,0.5,5.0,0.0,0.0
8,SL,1,0.1,1.0,0.0,0.0
8,,2,0.2,,,
9,FF,9,0.4090909090909091,9.0,0.1111111111111111,0.06565656565656565
9,SL,13,0.5909090909090909,13.0,0.3076923076923077,0.12587412587412586
10,FF,8,0.47058823529411764,8.0,0.0,0.0
10,SL,9,0.5294117647058824,9.0,0.4444444444444444,0.2091503267973856
11,CH,11,0.1111111111111111,11.0,0.36363636363636365,0.3232323232323232
11,CU,30,0.30303030303030304,30.0,0.1,0.0696969696969697
11,FF,23,0.23232323232323232,23.0,0.30434782608695654,0.23364075537988585
11,SI,22,0.2222222222222222,22.0,0.045454545454545456,0.03535353535353535
11,SL,11,0.1111111111111111,11.0,0.2727272727272727,0.2424242424242424
11,,2,0.020202020202020204,,,
12,CH,9,0.45,9.0,0.2222222222222222,0.12222222222222223
12,FF,6,0.3,6.0,0.5,0.35
12,SL,5,0.25,5.0,0.2,0.15000000000000002
13,FF,9,0.6,9.0,0.1111111111111111,0.044444444444444446
13,SL,6,0.4,6.0,0.3333333333333333,0.19999999999999998
14,FF,12,0.75,12.0,0.08333333333333333,0.020833333333333332
14,SL,2,0.125,2.0,0.0,0.0
14,,2,0.125,,,
15,CH,5,0.29411764705882354,5.0,0.6,0.4235294117647058
15,FF,10,0.5882352941176471,10.0,0.0,0.0
15,SL,2,0.11764705882352941,2.0,0.0,0.0
16,FC,3,0.2727272727272727,3.0,0.3333333333333333,0.24242424242424243
16,SI,4,0.36363636363636365,4.0,0.0,0.0
16,SL,4,0.36363636363636365,4.0,0.25,0.1590909090909091
17,FF,10,0.6666666666666666,10.0,0.2,0.06666666666666668
17,SL,5,0.3333333333333333,5.0,0.2,0.13333333333333336
